Distance,Omarion
Real Love,Massari
La Femme D'argent,Air
A.V.A (Mouvison),LE KARMAPA
Lollipop,Lil Wayne Feat. Static Major
Used To This,Future Feat. Drake
Touché Coulé,Hiro Feat. Youssoupha
Blind Pig,Emmi
Go,Tekno
Lush Life,Zara Larsson
Dkr,Booba
Something Just Like This,The Chainsmokers & Coldplay
Phenomenal Woman,Laura Mvula
Here I Come (Moods Remix),Izo FitzRoy
Tsa Ma Ndebele Kids,OSKIDO Feat. Candy
Kipele Kiese,Ferre Gola
Sept-Amber,The Reflex
Big Poppa,The Notorious B.I.G.
Fantasy,Mariah Carey
Hit 'Em Up,2Pac
